abundance,多量,たりょう,
acceleration,加速度,かそくど,
accommodation,順応,じゅんのう,
action current,活動電流,かつどうでんりゅう,
activation,賦活,ふかつ,
adequate stimulus,適合刺激,てきごうしげき,
affection,情動,じょうどう,
all-or-none law,全か無の法則,ぜんかむかのほうそく,
amplification,増幅,ぞうふく,
amplitude,振幅,しんぷく,
analgesia,無痛覚,むつうかく,
analyzer (device),分析器,ぶんせきき,
apparent(not real),見かけ,みかけ,
appetite,食欲,しょくよく,
arousal,覚醒,かくせい,
array,配列,はいれつ,
asymmetry,非対称,ひたいしょう,
attention deficit,注意欠如,ちゅういけつじょ,
attenuation,減衰,げんすい,
atypical,非定形,ひていけい,
Average,平均,へいきん,
basic,基本的,きほんてき,
central ,中枢性,ちゅうすうせい,
Collision,衝突,しょうとつ,
Coma,昏睡,こんすい,
common,共通,きょうつう,
complex action,複合活動,ふくごうかつどう,
confusion,錯乱,さくらん,
consciousness,意識,いしき,
Consciousness,意識性,いしきせい,
contraction,収縮,しゅうしゅく,
convergence,収束,しゅうそく,
correction,補正,ほせい,
curve,曲線,きょくせん,
deficiency,欠乏,けつぼう,
definitive,確定的,かくていてき,
delay,遅延,ちえん,
depletion,枯渇,こかつ,
desensitization,脱感受性,だつかんじゅせい,
discharge,発射,はっしゃ,
distortion,歪み,ゆがみ,
dominant,優位性,ゆういせい,
Driving+wheel​,駆動輪,くどうりん,
duplication,重複,ちょうふく,
Duration ,持続,じぞく,
effect,効果,こうか,
effective dose 640,実効線量,じっこうせんりょう,
electric inactivity,電気的不活動,でんきてきふかつどう,
electrodiagnosis,電気診断,でんきしんだん,
Electrostatic discharge​,放電,ほうでん,
emotion,情動,じょうどう,
encoding,符号化,ふごうか,
environmental (magnetic) field,環境磁界,かんきょうじかい,
equilibrium,平衡,へいこう,
event-related,事象関連,じしょうかんれん,
exchange 950,交換,こうかん,
exploratory behavior,探索行動,たんさくこうどう,
faint,失神,しっしん,
fatigue,疲労,ひろう,
field-of-view,撮像野,さつぞうや,
fitness,適性,てきせい,
focus,焦点,しょうてん,
Frequency,周波数,しゅうはすう,
function decline,機能低下,きのうていか,
function,機能,きのう,
generalization,全般化,ぜんぱんか,
