agreement,一致,いっち,
point,ポイント,ぽいんと,
online,オンライン,おんらいん,
to exclude,除く,のぞく,
to include,含む,ふくむ,
content,中身,なかみ,
gap,ズレ,ずれ,
decomposition(parts apart),分解,ぶんかい,
composition(parts together),構成,こうせい,
pattern,パターン,ぱたーん,
passing a test(fit+status),合格,ごかく,
to watch,観る,みる,
Role(duty+proportion),役割,やくわり,
sun,お日様,おひさま,
East,東,ひがし,
to rise(intr),昇る,のぼる,
continuation,継続,けいぞく,
firmly places on(on a chair),ドッカリ,どっかり,
to stretch out,横たわる,よこたわる,
stay(at hotel),滞在,たいざい,
wish(hope),希望,きぼう,
shortest,最短,さいたん,
great difference,大差,たいさ,
each(time),都度,つど,
correction,修正,しゅうせい,
fact,事実,じじつ,
boiling,沸騰,ふっとう,
re-establish(connection),再確立,さいかくりつ,
coworker,同僚,どうりょう,
to lay down,横になる,よこになる,
to bark,吠える,はえる,
viewpoint,見方,みかた,
viewpoint,立場,たちば,
group(set of objects),組,くみ,
total amount,合計,ごうけい,
kind(category),種類,しゅるい,
 (the) hour,時刻,じこく,
to manager,操る,あやつる,
to agree intr(に),同意する,どういする,
precise(definite),明確,めいかく,
day off(holiday),休暇,きゅうか,
specific(moment),特定,とくてい,
to be fit for,適する,てきする,
interpretation,捉え方,とらえかた,
poor at,苦手,にがて,
consciousness,意識,いしき,
one strong point,得意,とくい,
to recommend tr,勧める,すすめる,
as well as,及び,および,
to fall down(stairs),転がり落ちる,ころがりおちる,
extra money to maintain something,保つに余裕,たもつによゆう,
to throw,投げる,なげる,
cost,費,ひ,
nitrogen,窒素,ちっそ,
Oxygen,酸素,さんそ,
Carbon,炭素,たんそ,
sulfur,硫黄,いおう,
Phosphorus,燐,りん,
to commit(crime),犯す,おかす,
to ring,鳴る,なる,
to be in a hurry,急ぐ,いそう,
to carry,運ぶ,はこぶ,
something difficult,大変,たいへん,
on a grass(lawn),芝生,しばふ,
to decrease(intr),減る,へる,
just barely,ギリギリ,きりぎり,
long time,何年も,なんねんも,
problem(with how something is done),問題,もんだい,
the end,お仕舞い,おしまい,
young person,若者,わかもの,
things to sell,商品,しょうひん,
to approach,寄る,よる,
 taxes,税金,ぜいきん,
money saving,貯金,ちょきん,
to spinn,グルグル,ぐるぐる,
to spin,巡る,めぐる,
