一日,ついたち, first of the month
五日,いつか,fifth day of the month
男の子,おとこのこ,Boy
大人,おとな,Adult
女の子,おんなのこ,Girl
外国,がいこく,foreign country
外国人,がいこくじん,Foreigner
学生,がくせい,Student
学校,がっこう,School
今日,きょう,Today
午後,ごご,afternoon
九日,ここのか,nine days
午前,ごぜん,morning
今年,ことし,this year
今月,こんげつ,this month
八円,はちえん,eight yen
時間,じかん,Time
先月,せんげつ,last month
先生,せんせい,teacher
大学,だいがく,university
天気,てんき,weather
電気,でんき,electricity
電車,でんしゃ,electric train
電話,でんわ,telephone
十日,とおか,the tenth day
時々,ときどき,sometimes
七日,なのか, the seventh day
名前,なまえ,name
二十日,はつか,twentieth
一月,いちがつ,January
一人,ひとり,one person
二人,ふたり,two people
二日,ふつか,second day of the month
毎日,まいにち,every day
三日,みっか,third day of the month
六日,むいか,sixth day of the month
八日,ようか,eighth day of the month
四日,よっか,fouth day of the month
来月,らいげつ,next month
来年,らいねん,next year
仕事,しごと,work
元気,げんき,lively
友達,ともだち,friend
土曜日,どようび,Saturday
金曜日,きんようび,Friday
部屋,へや,room
日曜日,にちようび,Sunday
月曜日,げつようび,Monday
言葉,ことば,language
映画,えいが,movie
木曜日,もくようび,Thursday
英語,えいご,English (language)
水曜日,すいようび,Wednesday
火曜日,かようび,Tuesday
生徒,せいと,pupil
今週,こんしゅう,this week
会社,かいしゃ,company, corporation
一分,いっぷん,one minute
二分,にふん,two minutes
三分,さんぷん,three minutes
四分,よんぷん,four minutes
五分,ごふん,five minutes
六分,ろっぷん,six minutes
七分,ななふん,seven minutes
八分,はっぷん,eight minutes
九分,きゅうふん,nine minutes
